Car,MPG,Displacement,Horsepower,Weight,Model,Origin
Ford Maverick,15,250,72,3158,75,US
Ford Maverick,24,200,81,3012,76,US
Ford Mustang,18,250,88,3139,71,US
Ford Mustang Cobra,23.6,140,0,2905,80,US
Ford Mustang GL,27,140,86,2790,82,US
Ford Mustang II,13,302,129,3169,75,US
Ford Mustang II 2+2,25.5,140,89,2755,77,US
Ford Pinto,25,98,0,2046,71,US
Ford Pinto,19,122,85,2310,73,US
Ford Pinto,26,122,80,2451,74,US
Ford Pinto,18,171,97,2984,75,US
Ford Pinto,23,140,83,2639,75,US
Ford Pinto,26.5,140,72,2565,76,US
Ford Pinto (sw),22,122,86,2395,72,US
Ford Pinto Runabout,21,122,86,2226,72,US
Ford Ranger,28,120,79,2625,82,US
Ford Thunderbird,16,351,149,4335,77,US
Ford Torino,17,302,140,3449,70,US
Ford Torino 500,19,250,88,3302,71,US
Hi 1200D,9,304,193,4732,70,US
Honda Accord,32.4,107,72,2290,80,Japan
Honda Accord,36,107,75,2205,82,Japan
Honda Accord CVCC,31.5,98,68,2045,77,Japan
Honda Accord LX,29.5,98,68,2135,78,Japan
Honda Civic,24,120,97,2489,74,Japan
Honda Civic,33,91,53,1795,76,Japan
Honda Civic,38,91,67,1965,82,Japan
Honda Civic (auto),32,91,67,1965,82,Japan
Honda Civic 1300,35.1,81,60,1760,81,Japan
Honda Civic 1500 gl,44.6,91,67,1850,80,Japan
Honda Civic CVCC,33,91,53,1795,75,Japan
Honda Civic CVCC,36.1,91,60,1800,78,Japan
Honda Prelude,33.7,107,75,2210,81,Japan
Mazda 626,31.3,120,75,2542,80,Japan
Mazda 626,31.6,120,74,2635,81,Japan
Mazda GLC,46.6,86,65,2110,80,Japan
Mazda GLC 4,34.1,91,68,1985,81,Japan
Mazda GLC Custom,31,91,68,1970,82,Japan
Mazda GLC Custom l,37,91,68,2025,82,Japan
Mazda GLC Deluxe,32.8,78,52,1985,78,Japan
Mazda GLC Deluxe,34.1,86,65,1975,79,Japan
Mazda RX-4,21.5,80,110,2720,77,Japan
Mazda RX-7 GS,23.7,70,100,2420,80,Japan
Mazda RX2 Coupe,19,70,97,2330,72,Japan
Mazda RX3,18,70,90,2124,73,Japan
Mercedes Benz 300d,25.4,183,77,3530,79,Europe
Mercedes-Benz 240d,30,146,67,3250,80,Europe
Mercedes-Benz 280s,16.5,168,120,3820,76,Europe
Mercury Capri 2000,23,122,86,2220,71,US
Mercury Capri v6,21,155,107,2472,73,US
Mercury Cougar Brougham,15,302,130,4295,77,US
Mercury Grand Marquis,16.5,351,138,3955,79,US
Mercury Lynx l,36,98,70,2125,82,US
Mercury Marquis,11,429,208,4633,72,US
Mercury Marquis Brougham,12,429,198,4952,73,US
Mercury Monarch,15,250,72,3432,75,US
Mercury Monarch ghia,20.2,302,139,3570,78,US
Mercury Zephyr,20.8,200,85,3070,78,US
Mercury Zephyr 6,19.8,200,85,2990,79,US
Nissan Stanza XE,36,120,88,2160,82,Japan
Oldsmobile Cutlass Ciera (diesel),38,262,85,3015,82,US
Oldsmobile Cutlass LS,26.6,350,105,3725,81,US
Oldsmobile Cutlass Salon Brougham,19.9,260,110,3365,78,US
Oldsmobile Cutlass Salon Brougham,23.9,260,90,3420,79,US
Oldsmobile Cutlass Supreme,17,260,110,4060,77,US
Oldsmobile Delta 88 Royale,12,350,160,4456,72,US
Oldsmobile Omega,11,350,180,3664,73,US
Oldsmobile Omega Brougham,26.8,173,115,2700,79,US
Oldsmobile Starfire SX,23.8,151,85,2855,78,US
Oldsmobile Vista Cruiser,12,350,180,4499,73,US
Opel 1900,28,116,90,2123,71,Europe
Opel 1900,25,116,81,2220,76,Europe
Opel Manta,24,116,75,2158,73,Europe
Opel Manta,26,97,78,2300,74,Europe
Peugeot 304,30,79,70,2074,71,Europe
Peugeot 504,25,110,87,2672,70,Europe
Peugeot 504,23,120,88,2957,75,Europe
Peugeot 504,19,120,88,3270,76,Europe
Peugeot 504,27.2,141,71,3190,79,Europe
Peugeot 504 (sw),21,120,87,2979,72,Europe
Peugeot 505s Turbo Diesel,28.1,141,80,3230,81,Europe
Peugeot 604sl,16.2,163,133,3410,78,Europe
Plymouth 'Cuda 340,14,340,160,3609,70,US
Plymouth Arrow GS,25.5,122,96,2300,77,US
Plymouth Champ,39,86,64,1875,81,US
Plymouth Cricket,26,91,70,1955,71,US
Plymouth Custom Suburb,13,360,170,4654,73,US
Plymouth Duster,22,198,95,2833,70,US
Plymouth Duster,23,198,95,2904,73,US
Plymouth Duster,20,198,95,3102,74,US
Plymouth Fury,18,225,95,3785,75,US
Plymouth Fury Gran Sedan,14,318,150,4237,73,US
Plymouth Fury iii,14,440,215,4312,70,US
Plymouth Fury iii,14,318,150,4096,71,US
Plymouth Fury III,15,318,150,4135,72,US
Plymouth Grand Fury,16,318,150,4498,75,US
Plymouth Horizon,34.2,105,70,2200,79,US
Plymouth Horizon 4,34.7,105,63,2215,81,US
Plymouth Horizon Miser,38,105,63,2125,82,US
Plymouth Horizon TC3,34.5,105,70,2150,79,US
Plymouth Reliant,27.2,135,84,2490,81,US
Plymouth Reliant,30,135,84,2385,81,US
Plymouth Sapporo,23.2,156,105,2745,78,US
Plymouth Satellite,18,318,150,3436,70,US
Plymouth Satellite Custom,16,225,105,3439,71,US
Plymouth Satellite Custom (sw),14,318,150,4077,72,US
Plymouth Satellite Sebring,18,225,105,3613,74,US
Plymouth Valiant,18,225,105,3121,73,US
Plymouth Valiant,22,225,100,3233,76,US
Plymouth Valiant Custom,19,225,95,3264,75,US
Plymouth Volare,20.5,225,100,3430,78,US
Plymouth Volare Custom,19,225,100,3630,77,US
Plymouth Volare Premier v8,13,318,150,3940,76,US
Pontiac Astro,23,140,78,2592,75,US
Pontiac Catalina,14,455,225,4425,70,US
Pontiac Catalina,14,400,175,4385,72,US
Pontiac Catalina,16,400,170,4668,75,US
Pontiac Catalina Brougham,14,400,175,4464,71,US
Pontiac Firebird,19,250,100,3282,71,US
Pontiac Grand Prix,16,400,230,4278,73,US
Pontiac Grand Prix LJ,16,400,180,4220,77,US
Pontiac J2000 SE Hatchback,31,112,85,2575,82,US
Pontiac Lemans V6,21.5,231,115,3245,79,US
Pontiac Phoenix,33.5,151,90,2556,79,US
Pontiac Phoenix,27,151,90,2735,82,US
Pontiac Phoenix LJ,19.2,231,105,3535,78,US
Pontiac Safari (sw),13,400,175,5140,71,US
Pontiac Sunbird Coupe,24.5,151,88,2740,77,US
Pontiac Ventura SJ,18.5,250,110,3645,76,US
Renault 12 (sw),26,96,69,2189,72,Europe
Renault 12tl,27,101,83,2202,76,Europe
Renault 18i,34.5,100,0,2320,81,Europe
Renault 5 GTL,36,79,58,1825,77,Europe
Renault Lecar Deluxe,40.9,85,0,1835,80,Europe
Saab 99e,25,104,95,2375,70,Europe
Saab 99gle,21.6,121,115,2795,78,Europe
Saab 99le,24,121,110,2660,73,Europe
Saab 99LE,25,121,115,2671,75,Europe
Subaru,26,108,93,2391,74,Japan
Subaru,32.3,97,67,2065,81,Japan
Subaru DL,30,97,67,1985,77,Japan
Subaru DL,33.8,97,67,2145,80,Japan
Toyota Camry,20,97,88,2279,73,Japan
Toyota Celica GT,32,144,96,2665,82,Japan
Toyota Celica GT Liftback,21.1,134,95,2515,78,Japan
Toyota Corolla,25,113,95,2228,71,Japan
Toyota Corolla,31,76,52,1649,74,Japan
Toyota Corolla,24,134,96,2702,75,Japan
Toyota Corolla,29,97,75,2171,75,Japan
Toyota Corolla,28,97,75,2155,76,Japan
Toyota Corolla,27.5,134,95,2560,78,Japan
Toyota Corolla,32.2,108,75,2265,80,Japan
Toyota Corolla,32.4,108,75,2350,81,Japan
Toyota Corolla,34,108,70,2245,82,Japan
Toyota Corolla 1200,31,71,65,1773,71,Japan
Toyota Corolla 1200,32,71,65,1836,74,Japan
Toyota Corolla 1600 (sw),27,97,88,2100,72,Japan
Toyota Corolla Hardtop,24,113,95,2278,72,Japan
Toyota Corolla Liftback,26,97,75,2265,77,Japan
Toyota Corolla Liftback,29.8,134,90,2711,80,Japan
Toyota Corolla Mark ii,24,113,95,2372,70,Japan
Toyota Corolla Mark II (sw),23,120,97,2506,72,Japan
Toyota Corolla Tercel,38.1,89,60,1968,80,Japan
Toyota Cressida,25.4,168,116,2900,81,Japan
Toyota Mark II,20,156,122,2807,73,Japan
Toyota Mark II,19,156,108,2930,76,Japan
Toyota Starlet,39.1,79,58,1755,81,Japan
Toyota Tercel,37.7,89,62,2050,81,Japan
Triumph TR7 Coupe,35,122,88,2500,80,Europe
Volkswagen 1131 Deluxe Sedan,26,97,46,1835,70,Europe
Volkswagen 411 (sw),22,121,76,2511,72,Europe
Volkswagen Dasher,26,79,67,1963,74,Europe
Volkswagen Dasher,25,90,71,2223,75,Europe
Volkswagen Dasher,30.5,97,78,2190,77,Europe
Volkswagen Dasher (diesel),43.4,90,48,2335,80,Europe
Volkswagen Jetta,33,105,74,2190,81,Europe
Volkswagen Model 111,27,97,60,1834,71,Europe
Volkswagen Pickup,44,97,52,2130,82,Europe
Volkswagen Rabbit,29,90,70,1937,75,Europe
Volkswagen Rabbit,29,90,70,1937,76,Europe
Volkswagen Rabbit,29.5,97,71,1825,76,Europe
Volkswagen Rabbit,29.8,89,62,1845,80,Europe
Volkswagen Rabbit,41.5,98,76,2144,80,Europe
Volkswagen Rabbit C (Diesel),44.3,90,48,2085,80,Europe
Volkswagen Rabbit Custom,29,97,78,1940,77,Europe
Volkswagen Rabbit Custom,31.9,89,71,1925,79,Europe
Volkswagen Rabbit Custom Diesel,43.1,90,48,1985,78,Europe
Volkswagen Rabbit l,36,105,74,1980,82,Europe
Volkswagen Scirocco,31.5,89,71,1990,78,Europe
Volkswagen Super Beetle,26,97,46,1950,73,Europe
Volkswagen Type 3,23,97,54,2254,72,Europe
Volvo 144ea,19,121,112,2868,73,Europe
Volvo 145e (sw),18,121,112,2933,72,Europe
Volvo 244DL,22,121,98,2945,75,Europe
Volvo 245,20,130,102,3150,76,Europe
Volvo 264gl,17,163,125,3140,78,Europe
Volvo Diesel,30.7,145,76,3160,81,Europe
